CAND_ID|CAND_NAME|CAND_ICI|PTY_CD|CAND_PTY_AFFILIATION|TTL_RECEIPTS|TRANS_FROM_AUTH|TTL_DISB|TRANS_TO_AUTH|COH_BOP|COH_COP|CAND_CONTRIB|CAND_LOANS|OTHER_LOANS|CAND_LOAN_REPAY|OTHER_LOAN_REPAY|DEBTS_OWED_BY|TTL_INDIV_CONTRIB|CAND_OFFICE_ST|CAND_OFFICE_DISTRICT|SPEC_ELECTION|PRIM_ELECTION|RUN_ELECTION|GEN_ELECTION|GEN_ELECTION_PRECENT|OTHER_POL_CMTE_CONTRIB|POL_PTY_CONTRIB|CVG_END_DT|INDIV_REFUNDS|CMTE_REFUNDS
H8AK00132|SHEIN, DIMITRI|C|1|DEM|0|0|367.52|0|367.52|0|0|0|0|367.52|0|0|0|AK|00||||||0|0|09/30/2019|0|0
H6AK00045|YOUNG, DONALD E|I|2|REP|571389.12|108298.05|173021.99|0|116720.12|515087.25|0|0|0|0|0|0|197348.28|AK|00||||||263194.63|0|09/30/2019|0|2000
H8AK01031|NELSON, THOMAS JOHN|C|2|REP|0|0|466.51|0|466.51|0|0|0|0|0|0|0|0|AK|00||||||0|0|03/31/2019|0|0
H8AK00140|GALVIN, ALYSE|C|3|IND|497774.71|0|103011.33|0|6245.09|401008.47|1790.51|0|0|0|0|6750|458157|AK|00||||||500|0|09/30/2019|1038.19|0
H0AL01097|AVERHART, JAMES|O|1|DEM|22725.13|0|12326.37|0|0|10398.76|0|18500|0|0|0|18500|4225.13|AL|01||||||0|0|09/30/2019|0|0
H0AL01105|GARDNER, KIANI A|O|1|DEM|17589|0|10865.88|0|0|6723.12|0|0|0|0|0|0|17589|AL|01||||||0|0|09/30/2019|0|0
H0AL01055|CARL, JERRY LEE, JR|O|2|REP|856484.1|0|115176.19|0|0|741307.91|1655.5|405000|0|0|0|405000|443628.6|AL|01||||||6200|0|09/30/2019|0|0
H0AL01063|LAMBERT, DOUGLAS WESTLEY III|O|2|REP|173064.96|0|63485.75|0|0|109579.21|47804.96|110000|0|0|0|110000|15260|AL|01||||||0|0|09/30/2019|0|0
H0AL01071|PRINGLE, CHRISTOPHER PAUL|O|2|REP|308291.7|0|92854.21|0|0|215437.49|0|0|0|0|0|0|291941.7|AL|01||||||16350|0|09/30/2019|0|0
H0AL01089|HIGHTOWER, BILL|O|2|REP|559720.21|0|112108.34|0|0|447611.87|0|0|0|0|0|0|550520.21|AL|01||||||9200|0|09/30/2019|5600|0
H4AL01123|BYRNE, BRADLEY ROBERTS|I|2|REP|544643.34|19259.14|1619368.36|1504815.73|1074725.02|0|0|0|0|0|0|0|60571|AL|01||||||464813.2|0|03/31/2019|0|2500
H0AL02087|ROBY, MARTHA|I|2|REP|216297.5|0|342568.75|0|341683.01|215411.76|0|0|0|0|0|0|53800|AL|02||||||161500|0|09/30/2019|55035|12615.38
H0AL02137|DISMUKES, WILL|C|2|REP|14693|0|7033.03|0|0|7659.97|0|0|0|0|0|0|14693|AL|02||||||0|0|09/30/2019|1900|0
H0AL02145|COLEMAN, JEFF|C|2|REP|968001|0|2973.65|0|0|965027.35|0|500000|0|0|0|500000|453001|AL|02||||||15000|0|09/30/2019|0|0
H0AL02152|KING, TROY|C|2|REP|102742.2|0|371.5|0|0|102370.7|0|0|0|0|0|0|102742.2|AL|02||||||0|0|09/30/2019|0|0
H8AL02080|LOVE, JAY K|O|2|REP|0|0|0|0|372.13|372.13|0|0|0|0|0|194214.55|0|AL|02||||||0|0|09/30/2019|0|0
H8AL02171|MOORE, FELIX BARRY|C|2|REP|140822|0|12732.17|0|4927.67|133017.5|0|70000|0|0|0|145950.44|70822|AL|02||||||0|0|09/30/2019|0|0
H8AL02189|AMASON, THOMAS MARRION III|C|2|REP|0|0|0|0|-654.2|-654.2|0|0|0|0|0|0|0|AL|02||||||0|0|03/31/2019|0|0
H8AL03039|TURNHAM, JOSEPH R|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|0|0|AL|03||||||0|0|03/31/2019|0|0
H8AL03054|HAGAN, MALLORY|C|1|DEM|4891.75|0|7809.28|0|2917.53|0|0|0|0|0|0|-6|1320|AL|03||||||0|0|03/31/2019|240|0
H8AL03062|WINFREY, ADIA MCCLELLAN DR|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|0|0|AL|03||||||0|0|09/30/2019|0|0
H2AL03032|ROGERS, MICHAEL|I|2|REP|515099.79|0|390431.95|123000|527686.03|652353.87|0|0|0|0|0|0|215027|AL|03||||||291895|4000|09/30/2019|500|0
H6AL04098|ADERHOLT, ROBERT B. REP.|I|2|REP|496232.31|0|338354.06|0|715740.36|873618.61|0|0|0|0|0|0|231300.85|AL|04||||||263400|0|09/30/2019|0|0
H8AL05190|JOFFRION, PETER S.|O|1|DEM|171.51|0|3106.96|0|2935.45|0|171.51|0|0|0|0|0|0|AL|05||||||0|0|04/22/2019|0|0
H0AL05163|BROOKS, MO|I|2|REP|238770.42|0|71306.51|0|692181.51|859645.42|0|0|0|0|0|0|168899|AL|05||||||68720|0|09/30/2019|0|0
H0AL05205|LEWIS, CHRIS|C|2|REP|59431.5|0|44347.05|0|0|15084.45|3.25|0|0|0|0|15851.26|53653.25|AL|05||||||5000|0|09/30/2019|1250|0
H8AL05208|HINCHMAN, ROBERT CLAYTON MR|O|3|GOP|1033.08|0|0|0|-1033.08|0|1033.08|0|0|0|0|92624.68|0|AL|05||||||0|0|06/30/2019|0|0
H4AL06098|PALMER, GARY|I|2|REP|402321.69|15843.53|256754.87|0|372551.28|518118.1|0|0|0|0|0|0|270860|AL|06||||||114860|0|09/30/2019|1000|-2700
H0AL07086|SEWELL, TERRI A.|I|1|DEM|832038.79|0|534445.9|0|1571272.38|1859099.27|0|0|0|0|0|0|165445|AL|07||||||666350|0|09/30/2019|0|0
H0AR01109|CAUSEY, CHAD|O|1|DEM|0|0|450|0|331.59|31.59|0|0|0|0|0|112037.3|0|AR|01||||||0|0|09/30/2019|0|0
H0AR01083|CRAWFORD, ERIC ALAN RICK|I|2|REP|380591.4|4167|257831.46|46000|311424.52|434184.46|0|0|0|0|0|0|192524.4|AR|01||||||183900|0|09/30/2019|0|0
H0AR01125|SMITH, PRINCELLA D|O|2|REP|0|0|0|0|4|4|0|0|0|0|0|0|0|AR|01||||||0|0|09/30/2019|0|0
H8AR02142|COMBS, GWENDOLYNN MILLEN MRS.|C|1|DEM|0|0|897.9|0|2456.03|1558.13|0|0|0|0|0|0|0|AR|02||||||0|0|09/30/2019|0|0
H8AR02159|TUCKER, EVERETT CLARKE IV|C|1|DEM|99.99|0|4219.51|0|7756.41|3636.89|0|0|0|0|0|4500|0|AR|02||||||0|0|09/30/2019|0|0
H4AR02141|HILL, JAMES FRENCH|I|2|REP|994488.6|133109.04|217312.91|0|46780.63|823956.32|0|0|0|0|0|0|341327|AR|02||||||482646.96|0|09/30/2019|0|0
H0AR03030|WHITAKER, DAVID JEFFREY|O|1|DEM|0|0|0|0|3367.43|3367.43|0|0|0|0|0|18457.09|0|AR|03||||||0|0|09/30/2019|0|0
H0AR03105|WILLIAMS, CELESTE SARENE|C|1|DEM|62946.52|0|33896.89|0|0|29049.63|0|0|0|0|0|0|62946.52|AR|03||||||0|0|09/30/2019|0|0
