CMTE_ID|CMTE_NM|CMTE_TP|CMTE_DSGN|CMTE_FILING_FREQ|TTL_RECEIPTS|TRANS_FROM_AFF|INDV_CONTRIB|OTHER_POL_CMTE_CONTRIB|CAND_CONTRIB|CAND_LOAN|TTL_LOANS_RECEIVED|TTL_DISB|TRANF_TO_AFF|INDV_REFUNDS|OTHER_POL_CMTE_REFUNDS|CAND_LOAN_REPAY|LOAN_REPAY|COH_BOP|COH_COP|DEBTS_OWED_BY|NONFED_TRANS_RECEIVED|CONTRIB_TO_OTHER_CMTE|IND_EXP|PTY_COORD_EXP|NONFED_SHARE_EXP|CVG_END_DT
C00000059|HALLMARK CARDS PAC|Q|U|M|47837.94|0|47837.94|0|0|0|0|49000|0|0|0|0|0|148995.87|147833.81|0|0|49000|0|0|0|09/30/2019
C00000422|AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|727922.48|0|705502.42|0|0|0|0|265147.02|0|3664.1|0|0|0|1142153.22|1604928.68|0|0|240000|0|0|0|09/30/2019
C00000489|D R I V E POLITICAL FUND CHAPTER 886|N|U|Q|31417.81|31417.81|0|0|0|0|0|8922.16|0|0|0|0|0|13740.13|36235.78|0|0|0|0|0|0|09/30/2019
C00000547|KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|Q|U|Q|2850|0|2850|0|0|0|0|2000|0|0|0|0|0|4878.76|5728.76|0|0|2000|0|0|0|06/30/2019
C00000638|INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|U|T|1600|0|1000|0|0|0|0|112943.4|0|0|0|0|0|111343.4|0|0|0|0|0|0|0|05/16/2019
C00000729|AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|1106126.76|49210|1044706.93|0|0|0|0|816588.7|0|13270.83|0|0|0|494921.79|784459.85|0|0|777402|0|0|0|09/30/2019
C00000885|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE|Q|B|M|2349602.9|0|2329997.94|0|0|0|0|1211508.14|0|250|0|0|0|571096.23|1709190.99|0|0|568200|0|0|0|09/30/2019
C00000901|BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)|Q|B|M|1128095.26|0|1085843.65|0|0|0|0|687785.79|0|14085|0|0|0|457092.14|897401.61|0|0|618500|0|0|0|09/30/2019
C00000935|DCCC|Y|U|M|89061764.7|5649791.5|54914631.55|18264945.06|0|0|0|58460328.03|840461.16|493980.08|15000|0|16000000|5615495.89|36216932.56|0|0|110616.73|1229395|100315.92|0|09/30/2019
C00000984|UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)|Q|B|M|79560.92|0|54525.14|25000|0|0|0|56000|0|0|0|0|0|46976.65|70537.57|0|0|56000|0|0|0|09/30/2019
C00001016|CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS|Q|B|M|980421.8|11127.73|964270.07|0|0|0|0|1330027|0|0|0|0|0|1663573.26|1313968.06|0|0|1055300|0|0|0|09/30/2019
C00001180|MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY|Q|U|Q|17423.49|0|17055|0|0|0|0|6800|0|0|0|0|0|3603.75|14227.24|0|0|0|0|0|0|06/30/2019
C00001198|AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')|Q|B|Q|602675.06|0|582675.06|15000|0|0|0|698535.85|0|50.95|0|0|0|821129.25|725268.46|0|0|694000|0|0|0|06/30/2019
C00001214|TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|Q|48229.06|0|48229.06|0|0|0|0|20928.49|0|0|0|0|0|21327.9|48628.47|0|0|4500|0|0|0|06/30/2019
C00001305|REPUBLICAN PARTY OF VIRGINIA INC|Y|U|M|641169.2|309998.29|156836.64|22250|0|0|0|562581.46|36000|300|0|0|50000|57527.32|136115.06|0|72200|0|0|0|182972.69|09/30/2019
C00001313|REPUBLICAN PARTY OF MINNESOTA - FEDERAL|Y|U|M|1338443.63|141577.8|928822.42|21210.81|0|0|0|1123802.56|0|0|0|0|50089.27|3074.98|217716.05|442588.86|108975.93|0|0|0|131977.77|09/30/2019
C00001388|DAIRY FARMERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE; AKA DFA-PAC|Q|B|M|223484.24|0|210469.81|0|0|0|0|55127.76|0|0|0|0|0|1533101.04|1701457.52|0|0|53500|0|0|0|09/30/2019
C00001461|ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC)|Q|U|Q|2950.1|0|2950|0|0|0|0|104.6|0|0|0|0|0|2488.35|5333.85|0|0|0|0|0|0|06/30/2019
C00001636|SMART TD PAC|Q|B|M|1027547.85|0|1024033.85|0|0|0|0|852648.96|0|0|0|0|0|1573670|1748568.89|0|0|557935|0|0|0|09/30/2019
C00001727|BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE|W|U|M|30755.3|0|9000|21750|0|0|0|22297.13|0|0|0|0|0|9179.84|17638.01|0|0|1421.42|0|0|0|09/30/2019
C00001743|LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND|Q|U|Q|44544.32|0|44544.32|0|0|0|0|39356.4|0|0|0|0|0|5759.16|10947.08|0|0|0|0|0|0|09/30/2019
C00001917|WY DEMOCRATIC STATE CENTRAL COMMITTEE|Y|U|M|267377.99|124177.85|122538.73|1015|0|0|0|273810.88|0|1059|0|0|0|22363.08|15930.19|17974.95|18670|0|0|0|119678.57|09/30/2019
C00002089|COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE|Q|B|M|3162340.66|0|3153840.66|5000|0|0|0|1750238.61|11780|322|0|0|0|3496320.73|4908422.78|0|0|345850|10000|0|0|09/30/2019
C00002238|NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC|Q|U|M|100602|0|60602|40000|0|0|0|95166.06|0|0|0|0|0|82184.62|87620.56|0|0|93500|0|0|0|09/30/2019
C00002261|FEDERATION OF AMERICAN HOSPITALS PAC|Q|B|M|413513.58|0|379633.22|25000|0|0|0|279794.61|0|2000|0|0|0|79076.89|212795.86|0|0|268500|0|0|0|09/30/2019
C00002469|MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS|Q|B|M|1407971.24|0|1407971.24|0|0|0|0|1200578.22|0|0|0|0|0|336966.06|544359.08|0|0|951500|0|0|0|09/30/2019
C00002766|UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB|Q|B|M|4861487.85|0|4858609.87|0|0|0|0|2207969.17|0|0|0|0|0|1610258.35|4263777.03|0|0|790545|0|0|0|09/30/2019
C00002790|OLIN CORPORATION GOOD GOVERNMENT FUND|Q|U|Q|14882.81|0|14882.81|0|0|0|0|12525.72|0|0|0|0|0|55262.41|57619.5|0|0|12500|0|0|0|06/30/2019
C00002832|COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW|Q|B|Q|94120.85|0|91001.14|0|0|0|0|657|0|0|0|0|0|1257095|1350558.85|0|0|0|0|0|0|06/30/2019
C00002840|UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)|Q|B|Q|4132473.38|0|4075873.94|0|0|0|0|1153610.83|0|1380|0|0|0|17732301.71|20711164.26|0|0|428750|0|0|0|06/30/2019
C00002881|TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.|Q|B|M|415384.5|0|371884.5|43500|0|0|0|366079.8|0|0|0|0|0|462910.33|512215.03|0|0|366000|0|0|0|09/30/2019
C00002907|ARKANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|Q|U|Q|2350|0|2350|0|0|0|0|5866.78|0|0|0|0|0|34163|30647.14|0|0|3000|0|0|0|09/30/2019
